,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
793,IGL,EQ,510.95,513.9,505.05,506.7,507.2,507.15,2613216,1328116155.25,04-JAN-2021,34886,INE203G01027
794,IGPL,EQ,424.0,432.9,418.0,425.9,429.7,423.7,44937,19126765.1,04-JAN-2021,1301,INE204A01010
796,IIFL,EQ,118.1,118.2,114.3,115.45,115.6,117.2,671840,77728189.15,04-JAN-2021,6214,INE530B01024
802,IIFLSEC,EQ,48.0,48.65,47.8,48.0,48.0,47.7,488873,23496658.95,04-JAN-2021,1755,INE489L01022
803,IIFLWAM,EQ,1024.65,1058.85,1016.0,1052.75,1054.0,1024.65,39864,41269942.6,04-JAN-2021,2143,INE466L01020
808,IMFA,EQ,286.5,311.7,279.9,305.25,305.0,285.6,118653,35723888.0,04-JAN-2021,4025,INE919H01018
809,IMPAL,EQ,589.0,589.0,567.0,577.6,580.95,578.25,4739,2747980.25,04-JAN-2021,711,INE547E01014
811,INDBANK,EQ,11.4,12.25,11.15,12.25,12.25,11.15,640523,7672160.75,04-JAN-2021,1182,INE841B01017
812,INDHOTEL,EQ,126.0,127.5,125.1,126.4,126.3,123.95,2570150,324901875.7,04-JAN-2021,17561,INE053A01029
813,INDIACEM,EQ,181.0,183.8,174.8,176.35,176.25,180.75,4279820,764374686.6,04-JAN-2021,29300,INE383A01012
814,INDIAGLYCO,EQ,323.55,337.8,313.1,329.3,328.0,322.65,390686,128207667.4,04-JAN-2021,9468,INE560A01015
815,INDIAMART,EQ,7184.0,7489.8,7184.0,7287.7,7271.0,7038.3,262020,1920997789.45,04-JAN-2021,50295,INE933S01016
816,INDIANB,EQ,89.5,89.75,87.2,88.7,88.5,88.35,2096958,186206116.15,04-JAN-2021,11919,INE562A01011
817,INDIANCARD,EQ,133.5,142.5,126.05,141.2,141.5,128.55,15648,2158540.8,04-JAN-2021,512,INE061A01014
818,INDIANHUME,EQ,193.05,198.0,191.2,195.25,194.25,191.7,86328,16833382.05,04-JAN-2021,1934,INE323C01030
819,INDIGO,EQ,1722.0,1751.0,1718.15,1744.95,1746.0,1713.5,864639,1500105005.6,04-JAN-2021,22381,INE646L01027
822,INDNIPPON,EQ,351.05,357.8,349.4,354.05,356.6,351.05,13381,4727258.75,04-JAN-2021,670,INE092B01025
823,INDOCO,EQ,308.0,316.0,305.05,313.75,312.0,304.3,392560,122323874.85,04-JAN-2021,9625,INE873D01024
824,INDORAMA,EQ,46.35,46.35,46.35,46.35,46.35,44.15,192653,8929466.55,04-JAN-2021,324,INE156A01020
826,INDOSTAR,EQ,337.85,346.85,326.0,329.7,330.0,333.6,106971,36005387.25,04-JAN-2021,4384,INE896L01010
827,INDOTECH,EQ,116.55,119.85,115.5,117.15,116.2,113.7,25784,3035010.65,04-JAN-2021,560,INE332H01014
828,INDOTHAI,EQ,28.15,29.2,28.0,29.0,28.85,27.85,34126,987871.5,04-JAN-2021,196,INE337M01013
830,INDRAMEDCO,EQ,57.85,58.9,56.8,57.2,57.25,57.35,198031,11383052.85,04-JAN-2021,1902,INE681B01017
831,INDSWFTLAB,EQ,68.6,68.6,67.5,68.6,68.6,65.35,293725,20123658.2,04-JAN-2021,654,INE915B01019
833,INDTERRAIN,EQ,38.5,41.15,37.55,39.95,40.0,37.8,1881533,74448809.35,04-JAN-2021,6908,INE611L01021
834,INDUSINDBK,EQ,910.0,914.0,887.45,897.85,897.7,900.15,6991890,6306166722.4,04-JAN-2021,115454,INE095A01012
835,INDUSTOWER,EQ,239.95,242.8,237.05,241.4,241.6,235.45,8979802,2147434660.35,04-JAN-2021,40881,INE121J01017
836,INEOSSTYRO,EQ,835.0,850.5,828.4,844.45,838.0,830.0,84556,70930464.1,04-JAN-2021,2280,INE189B01011
837,INFIBEAM,EQ,86.9,87.7,84.0,86.5,87.05,86.15,301101,26079338.65,04-JAN-2021,3124,INE483S01020
838,INFOBEAN,EQ,152.25,157.9,152.25,154.4,154.0,152.05,25819,3984834.0,04-JAN-2021,404,INE344S01016
840,INFRABEES,EQ,383.95,388.77,382.0,384.77,385.0,382.7,902,347058.79,04-JAN-2021,49,INF732E01268
841,INFY,EQ,1269.0,1290.0,1261.15,1288.25,1288.0,1260.45,7208454,9214400329.0,04-JAN-2021,189946,INE009A01021
842,INGERRAND,EQ,660.0,660.0,612.5,648.5,648.0,651.55,20760,13412797.85,04-JAN-2021,2055,INE177A01018
844,INOXLEISUR,EQ,292.95,306.0,288.45,303.9,305.0,286.85,3514621,1046016449.25,04-JAN-2021,68109,INE312H01016
845,INOXWIND,EQ,61.95,66.9,61.95,65.95,66.15,64.25,275096,17964474.7,04-JAN-2021,2217,INE066P01011
846,INSECTICID,EQ,468.0,471.65,465.0,466.0,466.0,465.8,63378,29497039.5,04-JAN-2021,668,INE070I01018
847,INSPIRISYS,EQ,34.55,35.8,34.0,35.1,35.15,35.15,13307,465777.85,04-JAN-2021,259,INE020G01017
849,INTELLECT,EQ,314.7,318.0,306.15,315.9,315.5,309.4,238525,74760414.2,04-JAN-2021,5928,INE306R01017
850,INTENTECH,EQ,45.95,46.45,44.5,45.25,45.15,45.6,56288,2551463.75,04-JAN-2021,509,INE781A01025
851,INVENTURE,EQ,17.45,17.45,16.8,17.05,17.05,16.8,8597,146215.4,04-JAN-2021,76,INE878H01016
852,IOB,EQ,11.05,11.4,10.9,11.3,11.35,10.8,7348549,82200730.25,04-JAN-2021,8311,INE565A01014
853,IOC,EQ,92.0,94.05,92.0,93.85,93.9,91.5,20940906,1948857846.2,04-JAN-2021,58181,INE242A01010
854,IOLCP,EQ,756.45,759.35,740.25,749.05,748.0,751.75,209027,156605872.05,04-JAN-2021,7950,INE485C01011
855,IPCALAB,EQ,2189.8,2189.8,2154.05,2162.4,2164.0,2180.05,129640,280625937.55,04-JAN-2021,12589,INE571A01020
856,IRB,EQ,119.0,119.8,116.9,117.3,117.0,118.55,1204263,142429735.75,04-JAN-2021,13369,INE821I01014
858,IRCON,EQ,87.95,88.45,87.3,87.85,88.15,87.45,593608,52177298.2,04-JAN-2021,14988,INE962Y01021
859,IRCTC,EQ,1462.0,1468.0,1445.0,1451.05,1450.35,1445.0,1052506,1530183138.8,04-JAN-2021,48070,INE335Y01012
873,ISEC,EQ,469.0,472.65,464.0,465.8,464.85,465.6,579045,271396855.95,04-JAN-2021,22333,INE763G01038
874,ISFT,EQ,75.95,76.0,73.05,76.0,76.0,72.4,34179,2583158.1,04-JAN-2021,409,INE566K01011
875,ISMTLTD,EQ,11.8,12.0,11.15,11.15,11.2,11.65,344398,3921299.65,04-JAN-2021,496,INE732F01019
876,ITC,EQ,214.0,216.0,212.1,213.4,213.9,213.85,26891799,5761671016.1,04-JAN-2021,145021,INE154A01025
877,ITDC,EQ,349.75,349.75,330.3,334.7,333.5,326.65,371721,125884192.5,04-JAN-2021,10230,INE353K01014
878,ITDCEM,EQ,67.5,68.0,65.15,67.05,67.25,66.85,990458,66291632.65,04-JAN-2021,7013,INE686A01026
879,ITI,EQ,129.5,130.8,127.45,128.7,128.6,127.2,789849,101896458.5,04-JAN-2021,7700,INE248A01017
882,IVZINGOLD,EQ,4635.0,4650.0,4554.0,4633.9,4644.0,4597.6,79,365195.5,04-JAN-2021,25,INF205K01361
883,IVZINNIFTY,EQ,1511.0,1527.0,1511.0,1527.0,1527.0,1508.35,2,3038.0,04-JAN-2021,2,INF205K01DA9
884,IZMO,EQ,49.1,49.1,46.0,47.6,48.25,47.45,34545,1655918.7,04-JAN-2021,437,INE848A01014
885,J&KBANK,EQ,24.95,25.2,23.85,24.55,24.45,24.35,3763887,92198944.05,04-JAN-2021,7675,INE168A01041
886,JAGRAN,EQ,43.9,44.9,43.0,44.45,43.85,43.15,627454,27630010.5,04-JAN-2021,3144,INE199G01027
887,JAGSNPHARM,EQ,80.95,87.5,80.0,85.1,84.5,80.55,907448,76657817.8,04-JAN-2021,10345,INE048B01027
888,JAIBALAJI,EQ,19.75,21.2,19.6,21.2,21.2,20.2,158647,3297221.25,04-JAN-2021,502,INE091G01018
889,JAICORPLTD,EQ,95.1,96.3,93.2,94.7,94.45,94.8,862043,81871718.65,04-JAN-2021,5435,INE070D01027
892,JAMNAAUTO,EQ,61.15,61.75,59.0,60.5,60.8,60.6,1264906,76449989.3,04-JAN-2021,7334,INE039C01032
893,JASH,EQ,221.3,236.0,220.55,233.3,233.0,220.35,13605,3122424.4,04-JAN-2021,360,INE039O01011
894,JAYAGROGN,EQ,119.8,121.65,118.2,119.85,120.0,118.3,23497,2812110.6,04-JAN-2021,460,INE785A01026
895,JAYBARMARU,EQ,251.9,254.95,247.95,250.85,250.5,249.9,32094,8048540.65,04-JAN-2021,837,INE571B01028
897,JAYSREETEA,EQ,71.8,72.8,71.0,71.9,71.6,70.75,150836,10827841.25,04-JAN-2021,1632,INE364A01020
898,JBCHEPHARM,EQ,1039.0,1043.9,1024.5,1034.9,1038.0,1034.3,181611,187826717.25,04-JAN-2021,12010,INE572A01028
900,JBMA,EQ,280.35,283.0,273.35,278.0,279.0,278.95,23571,6559689.35,04-JAN-2021,705,INE927D01028
